OrderDate_SK,orderDate,Order_Year,Order_Month,Order_Quarter,Order_Week,Order_Fiscal_Year,Order_Fiscal_Quarter,Order_Fiscal_Month,Order_Fiscal_Week
5000,12/02/04,2004,12,4,49,2004.0,3.0,9.0,37.0
5001,12/04/04,2004,12,4,49,2004.0,3.0,9.0,37.0
5002,12/05/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5003,12/06/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5004,12/07/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5005,12/08/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5006,12/09/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5007,12/10/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5008,12/11/04,2004,12,4,50,2004.0,3.0,9.0,38.0
5009,12/12/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5010,12/13/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5011,12/14/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5012,12/15/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5013,12/16/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5014,12/17/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5015,12/18/04,2004,12,4,51,2004.0,3.0,9.0,39.0
5016,12/19/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5017,12/20/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5018,12/21/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5019,12/22/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5020,12/23/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5021,12/24/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5022,12/25/04,2004,12,4,52,2004.0,3.0,9.0,40.0
5023,12/26/04,2004,12,4,1,2004.0,3.0,9.0,41.0
5024,12/27/04,2004,12,4,1,2004.0,3.0,9.0,41.0
5025,12/28/04,2004,12,4,1,2004.0,3.0,9.0,41.0
5026,12/29/04,2004,12,4,1,2004.0,3.0,9.0,41.0
5027,12/30/04,2004,12,4,1,2004.0,3.0,9.0,41.0
5028,12/31/04,2004,12,4,1,2004.0,3.0,9.0,41.0
5029,01/01/05,2005,1,1,1,2005.0,4.0,10.0,41.0
5030,01/02/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5031,01/03/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5032,01/04/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5033,01/05/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5034,01/06/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5035,01/07/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5036,01/08/05,2005,1,1,2,2005.0,4.0,10.0,42.0
5037,01/09/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5038,01/10/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5039,01/11/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5040,01/12/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5041,01/13/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5042,01/14/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5043,01/15/05,2005,1,1,3,2005.0,4.0,10.0,43.0
5044,01/16/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5045,01/17/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5046,01/18/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5047,01/19/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5048,01/20/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5049,01/21/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5050,01/22/05,2005,1,1,4,2005.0,4.0,10.0,44.0
5051,01/23/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5052,01/24/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5053,01/25/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5054,01/26/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5055,01/27/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5056,01/28/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5057,01/29/05,2005,1,1,5,2005.0,4.0,10.0,45.0
5058,01/30/05,2005,1,1,6,2005.0,4.0,10.0,46.0
5059,01/31/05,2005,1,1,6,2005.0,4.0,10.0,46.0
5060,02/01/05,2005,2,1,6,2005.0,4.0,11.0,46.0
5061,02/02/05,2005,2,1,6,2005.0,4.0,11.0,46.0
5062,02/03/05,2005,2,1,6,2005.0,4.0,11.0,46.0
5063,02/04/05,2005,2,1,6,2005.0,4.0,11.0,46.0
5064,02/05/05,2005,2,1,6,2005.0,4.0,11.0,46.0
5065,02/06/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5066,02/07/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5067,02/08/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5068,02/09/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5069,02/10/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5070,02/11/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5071,02/12/05,2005,2,1,7,2005.0,4.0,11.0,47.0
5072,02/13/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5073,02/14/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5074,02/15/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5075,02/16/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5076,02/17/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5077,02/18/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5078,02/19/05,2005,2,1,8,2005.0,4.0,11.0,48.0
5079,02/20/05,2005,2,1,9,2005.0,4.0,11.0,49.0
5080,02/21/05,2005,2,1,9,2005.0,4.0,11.0,49.0
