SalesDate_SK,salesDate,Sales_Year,Sales_Quarter,Sales_Month,Sales_Week,Sales_Fiscal_Year,Sales_Fiscal_Quarter,Sales_Fiscal_Month,Sales_Fiscal_Week
5000,,,,,,,,,
5001,08/20/00,2000,3,8,35,2000,2,5,23
5002,01/01/05,2005,1,1,1,2005,4,10,41
5003,01/02/05,2005,1,1,2,2005,4,10,42
5004,01/03/05,2005,1,1,2,2005,4,10,42
5005,01/04/05,2005,1,1,2,2005,4,10,42
5006,01/05/05,2005,1,1,2,2005,4,10,42
5007,01/06/05,2005,1,1,2,2005,4,10,42
5008,01/07/05,2005,1,1,2,2005,4,10,42
5009,01/08/05,2005,1,1,2,2005,4,10,42
5010,01/09/05,2005,1,1,3,2005,4,10,43
5011,01/10/05,2005,1,1,3,2005,4,10,43
5012,01/11/05,2005,1,1,3,2005,4,10,43
5013,01/12/05,2005,1,1,3,2005,4,10,43
5014,01/13/05,2005,1,1,3,2005,4,10,43
5015,01/14/05,2005,1,1,3,2005,4,10,43
5016,01/15/05,2005,1,1,3,2005,4,10,43
5017,01/16/05,2005,1,1,4,2005,4,10,44
5018,01/17/05,2005,1,1,4,2005,4,10,44
5019,01/18/05,2005,1,1,4,2005,4,10,44
5020,01/19/05,2005,1,1,4,2005,4,10,44
5021,01/20/05,2005,1,1,4,2005,4,10,44
5022,01/21/05,2005,1,1,4,2005,4,10,44
5023,01/22/05,2005,1,1,4,2005,4,10,44
5024,01/23/05,2005,1,1,5,2005,4,10,45
5025,01/24/05,2005,1,1,5,2005,4,10,45
5026,01/25/05,2005,1,1,5,2005,4,10,45
5027,01/26/05,2005,1,1,5,2005,4,10,45
5028,01/27/05,2005,1,1,5,2005,4,10,45
5029,01/28/05,2005,1,1,5,2005,4,10,45
5030,01/29/05,2005,1,1,5,2005,4,10,45
5031,01/30/05,2005,1,1,6,2005,4,10,46
5032,01/31/05,2005,1,1,6,2005,4,10,46
5033,02/01/05,2005,1,2,6,2005,4,11,46
5034,02/02/05,2005,1,2,6,2005,4,11,46
5035,02/03/05,2005,1,2,6,2005,4,11,46
5036,02/04/05,2005,1,2,6,2005,4,11,46
5037,02/05/05,2005,1,2,6,2005,4,11,46
5038,02/06/05,2005,1,2,7,2005,4,11,47
5039,02/07/05,2005,1,2,7,2005,4,11,47
5040,02/08/05,2005,1,2,7,2005,4,11,47
5041,02/09/05,2005,1,2,7,2005,4,11,47
5042,02/10/05,2005,1,2,7,2005,4,11,47
5043,02/11/05,2005,1,2,7,2005,4,11,47
5044,02/12/05,2005,1,2,7,2005,4,11,47
5045,02/13/05,2005,1,2,8,2005,4,11,48
5046,02/14/05,2005,1,2,8,2005,4,11,48
5047,02/15/05,2005,1,2,8,2005,4,11,48
5048,02/16/05,2005,1,2,8,2005,4,11,48
5049,02/17/05,2005,1,2,8,2005,4,11,48
5050,02/18/05,2005,1,2,8,2005,4,11,48
5051,02/19/05,2005,1,2,8,2005,4,11,48
5052,02/20/05,2005,1,2,9,2005,4,11,49
5053,02/21/05,2005,1,2,9,2005,4,11,49
5054,02/22/05,2005,1,2,9,2005,4,11,49
5055,02/23/05,2005,1,2,9,2005,4,11,49
5056,02/24/05,2005,1,2,9,2005,4,11,49
5057,02/25/05,2005,1,2,9,2005,4,11,49
5058,02/26/05,2005,1,2,9,2005,4,11,49
5059,02/27/05,2005,1,2,10,2005,4,11,50
5060,02/28/05,2005,1,2,10,2005,4,11,50
5061,03/01/05,2005,1,3,10,2005,4,12,50
5062,03/02/05,2005,1,3,10,2005,4,12,50
5063,03/03/05,2005,1,3,10,2005,4,12,50
5064,03/04/05,2005,1,3,10,2005,4,12,50
5065,03/05/05,2005,1,3,10,2005,4,12,50
5066,03/06/05,2005,1,3,11,2005,4,12,51
5067,03/07/05,2005,1,3,11,2005,4,12,51
5068,03/08/05,2005,1,3,11,2005,4,12,51
