invoiceID,customerID,saleDate,prodID,amt,qty,discounted
1,25,04/30/2005,22,1954.44,4.0,0
1,25,04/30/2005,26,4802.67,17.0,0
1,25,04/30/2005,41,1380.48,8.0,0
2,23,10/09/2006,11,6731.7,19.0,0
2,23,10/09/2006,12,4390.24,16.0,0
2,23,10/09/2006,19,373.38,3.0,0
2,23,10/09/2006,30,2733.17,11.0,1
2,23,10/09/2006,33,2769.9,7.0,0
2,23,10/09/2006,34,4766.72,14.0,0
3,1,12/01/2010,24,2682.0,9.0,0
3,1,12/01/2010,26,4802.67,17.0,0
3,1,12/01/2010,29,4566.15,9.0,0
3,1,12/01/2010,47,1557.05,11.0,0
3,1,12/01/2010,48,2109.24,6.0,0
4,5,05/15/2009,3,3226.73,13.0,0
4,5,05/15/2009,6,2083.68,6.0,0
4,5,05/15/2009,14,5589.22,13.0,0
4,5,05/15/2009,33,5935.5,15.0,0
4,5,05/15/2009,44,393.12,2.0,0
5,16,08/13/2010,3,1489.26,6.0,0
5,16,08/13/2010,17,2555.3,10.0,1
5,16,08/13/2010,20,2787.12,12.0,0
5,16,08/13/2010,21,5907.98,13.0,1
5,16,08/13/2010,25,2891.7,10.0,0
5,16,08/13/2010,29,1014.7,2.0,0
5,16,08/13/2010,36,7842.78,17.0,0
5,16,08/13/2010,46,9332.82,18.0,0
6,18,08/21/2010,4,1505.46,6.0,0
6,18,08/21/2010,25,4915.89,17.0,0
6,18,08/21/2010,39,4215.12,14.0,0
7,9,12/22/2010,14,8168.86,19.0,0
7,9,12/22/2010,16,5992.48,13.0,0
7,9,12/22/2010,17,3172.51,11.0,0
7,9,12/22/2010,19,2115.82,17.0,0
7,9,12/22/2010,28,5472.1,10.0,0
7,9,12/22/2010,46,1036.98,2.0,0
8,9,01/15/2008,13,8595.8,20.0,0
8,9,01/15/2008,27,3371.7,10.0,0
8,9,01/15/2008,29,3044.1,6.0,0
8,9,01/15/2008,32,6562.72,16.0,0
9,30,10/27/2009,14,3009.58,7.0,0
9,30,10/27/2009,19,900.63,9.0,1
9,30,10/27/2009,21,6816.9,15.0,1
9,30,10/27/2009,22,7387.74,18.0,1
9,30,10/27/2009,32,4168.92,12.0,1
10,13,07/29/2011,8,7596.29,13.0,0
10,13,07/29/2011,27,5731.89,17.0,0
10,13,07/29/2011,29,2029.4,4.0,0
10,13,07/29/2011,33,2779.36,8.0,1
10,13,07/29/2011,39,1526.46,6.0,1
11,3,05/13/2011,1,2565.54,18.0,1
11,3,05/13/2011,9,2770.02,11.0,1
11,3,05/13/2011,21,5453.52,12.0,1
11,3,05/13/2011,22,2873.01,7.0,1
11,3,05/13/2011,27,6048.8,20.0,1
11,3,05/13/2011,39,2544.1,10.0,1
12,22,09/22/2005,15,2208.48,16.0,1
12,22,09/22/2005,32,3691.53,9.0,0
12,22,09/22/2005,34,1702.4,5.0,0
12,22,09/22/2005,39,4215.12,14.0,0
12,22,09/22/2005,43,3960.0,8.0,0
12,22,09/22/2005,45,990.08,2.0,0
13,16,05/16/2006,6,694.56,2.0,0
13,16,05/16/2006,13,3438.32,8.0,0
13,16,05/16/2006,15,2859.12,18.0,0
13,16,05/16/2006,20,929.04,4.0,0
13,16,05/16/2006,26,3672.63,13.0,0
13,16,05/16/2006,35,2827.5,5.0,0
13,16,05/16/2006,36,5997.42,13.0,0
13,16,05/16/2006,39,1806.48,6.0,0
13,16,05/16/2006,44,589.68,3.0,0
14,2,10/28/2007,4,1254.55,5.0,0
14,2,10/28/2007,8,3505.98,6.0,0
14,2,10/28/2007,9,4433.4,15.0,0
14,2,10/28/2007,21,5659.5,10.0,0
14,2,10/28/2007,33,5539.8,14.0,0
14,2,10/28/2007,39,3311.88,11.0,0
15,18,11/05/2010,17,5191.38,18.0,0
15,18,11/05/2010,18,2737.44,6.0,0
15,18,11/05/2010,24,3576.0,12.0,0
15,18,11/05/2010,30,3116.52,11.0,0
15,18,11/05/2010,31,2861.67,7.0,0
15,18,11/05/2010,39,602.16,2.0,0
16,11,01/06/2006,22,2443.05,5.0,0
16,11,01/06/2006,26,3955.14,14.0,0
16,11,01/06/2006,29,2536.75,5.0,0
16,11,01/06/2006,34,6128.64,18.0,0
16,11,01/06/2006,47,424.65,3.0,0
17,2,11/14/2010,5,4825.11,17.0,0
17,2,11/14/2010,6,4167.36,12.0,0
17,2,11/14/2010,20,1161.3,5.0,0
17,2,11/14/2010,26,5650.2,20.0,0
17,2,11/14/2010,32,5742.38,14.0,0
17,2,11/14/2010,40,4014.2,20.0,0
18,29,01/13/2010,2,9176.04,18.0,0
18,29,01/13/2010,11,1062.9,3.0,0
18,29,01/13/2010,14,1289.82,3.0,0
18,29,01/13/2010,27,6069.06,18.0,0
18,29,01/13/2010,31,1635.24,4.0,0
19,27,03/19/2008,2,6627.14,13.0,0
19,27,03/19/2008,19,1369.06,11.0,0
