Sales_Date,Sales_Year,Sales_Quarter,Sales_Month,Sales_Week,Sales_Day
12/31/2008,2008,4,12,4,31
12/31/2009,2009,4,12,4,31
05/24/2007,2007,2,5,4,24
05/24/2006,2006,2,5,4,24
05/24/2006,2006,2,5,4,24
05/24/2006,2006,2,5,4,24
06/30/2005,2005,2,6,4,30
03/04/2009,2009,1,3,1,4
06/30/2006,2006,2,6,4,30
03/04/2006,2006,1,3,1,4
03/04/2006,2006,1,3,1,4
06/26/2010,2010,2,6,4,26
06/26/2010,2010,2,6,4,26
12/31/2005,2005,4,12,4,31
12/31/2005,2005,4,12,4,31
12/31/2005,2005,4,12,4,31
12/31/2005,2005,4,12,4,31
07/06/2007,2007,3,7,1,6
03/07/2010,2010,1,3,1,7
03/13/2006,2006,1,3,2,13
03/13/2007,2007,1,3,2,13
03/13/2007,2007,1,3,2,13
05/20/2005,2005,2,5,3,20
05/20/2006,2006,2,5,3,20
05/20/2008,2008,2,5,3,20
05/20/2008,2008,2,5,3,20
05/13/2010,2010,2,5,2,13
05/13/2010,2010,2,5,2,13
01/20/2009,2009,1,1,3,20
01/20/2008,2008,1,1,3,20
01/20/2008,2008,1,1,3,20
02/27/2009,2009,1,2,4,27
02/27/2009,2009,1,2,4,27
02/27/2009,2009,1,2,4,27
09/19/2009,2009,3,9,3,19
09/19/2009,2009,3,9,3,19
05/15/2005,2005,2,5,2,15
05/15/2005,2005,2,5,2,15
01/20/2005,2005,1,1,3,20
09/05/2010,2010,3,9,1,5
09/05/2010,2010,3,9,1,5
09/05/2010,2010,3,9,1,5
10/29/2010,2010,4,10,4,29
10/29/2010,2010,4,10,4,29
10/29/2010,2010,4,10,4,29
01/20/2006,2006,1,1,3,20
07/09/2007,2007,3,7,2,9
05/23/2005,2005,2,5,4,23
10/18/2007,2007,4,10,3,18
10/18/2007,2007,4,10,3,18
10/18/2005,2005,4,10,3,18
04/19/2009,2009,2,4,3,19
10/18/2008,2008,4,10,3,18
10/18/2009,2009,4,10,3,18
10/18/2009,2009,4,10,3,18
04/19/2008,2008,2,4,3,19
07/02/2008,2008,3,7,1,2
02/17/2010,2010,1,2,3,17
02/17/2010,2010,1,2,3,17
01/25/2010,2010,1,1,4,25
01/25/2010,2010,1,1,4,25
01/25/2010,2010,1,1,4,25
01/03/2010,2010,1,1,1,3
07/03/2010,2010,3,7,1,3
07/03/2010,2010,3,7,1,3
11/14/2005,2005,4,11,2,14
11/14/2005,2005,4,11,2,14
12/26/2006,2006,4,12,4,26
11/14/2007,2007,4,11,2,14
11/14/2007,2007,4,11,2,14
05/24/2008,2008,2,5,4,24
05/24/2008,2008,2,5,4,24
08/19/2005,2005,3,8,3,19
08/19/2005,2005,3,8,3,19
12/04/2007,2007,4,12,1,4
12/04/2007,2007,4,12,1,4
12/04/2007,2007,4,12,1,4
08/26/2009,2009,3,8,4,26
08/26/2009,2009,3,8,4,26
08/26/2009,2009,3,8,4,26
08/26/2009,2009,3,8,4,26
05/15/2008,2008,2,5,2,15
05/15/2008,2008,2,5,2,15
08/01/2005,2005,3,8,1,1
08/01/2005,2005,3,8,1,1
08/01/2007,2007,3,8,1,1
08/01/2006,2006,3,8,1,1
08/01/2006,2006,3,8,1,1
06/14/2010,2010,2,6,2,14
08/01/2008,2008,3,8,1,1
12/31/2007,2007,4,12,4,31
05/15/2007,2007,2,5,2,15
08/19/2008,2008,3,8,3,19
08/26/2005,2005,3,8,4,26
08/26/2005,2005,3,8,4,26
08/26/2005,2005,3,8,4,26
08/01/2007,2007,3,8,1,1
04/03/2007,2007,2,4,1,3
07/04/2010,2010,3,7,1,4
08/07/2010,2010,3,8,1,7
08/07/2010,2010,3,8,1,7
08/07/2010,2010,3,8,1,7
08/07/2010,2010,3,8,1,7
06/14/2007,2007,2,6,2,14
06/14/2006,2006,2,6,2,14
05/25/2010,2010,2,5,4,25
05/25/2010,2010,2,5,4,25
05/25/2010,2010,2,5,4,25
05/25/2010,2010,2,5,4,25
09/15/2010,2010,3,9,2,15
07/02/2006,2006,3,7,1,2
04/10/2006,2006,2,4,2,10
04/10/2006,2006,2,4,2,10
04/10/2007,2007,2,4,2,10
04/10/2007,2007,2,4,2,10
04/10/2008,2008,2,4,2,10
04/10/2009,2009,2,4,2,10
07/18/2006,2006,3,7,3,18
07/18/2006,2006,3,7,3,18
07/02/2007,2007,3,7,1,2
12/25/2006,2006,4,12,4,25
07/15/2009,2009,3,7,2,15
07/24/2005,2005,3,7,4,24
07/15/2007,2007,3,7,2,15
07/15/2007,2007,3,7,2,15
07/15/2006,2006,3,7,2,15
07/03/2010,2010,3,7,1,3
09/25/2005,2005,3,9,4,25
09/25/2006,2006,3,9,4,25
09/25/2007,2007,3,9,4,25
09/25/2009,2009,3,9,4,25
05/10/2005,2005,2,5,2,10
05/23/2008,2008,2,5,4,23
05/24/2010,2010,2,5,4,24
05/24/2010,2010,2,5,4,24
05/12/2005,2005,2,5,2,12
04/22/2006,2006,2,4,3,22
11/01/2006,2006,4,11,1,1
11/01/2006,2006,4,11,1,1
11/01/2005,2005,4,11,1,1
11/01/2005,2005,4,11,1,1
03/27/2008,2008,1,3,4,27
03/27/2009,2009,1,3,4,27
05/15/2006,2006,2,5,2,15
05/15/2006,2006,2,5,2,15
05/15/2006,2006,2,5,2,15
05/15/2007,2007,2,5,2,15
05/15/2007,2007,2,5,2,15
05/15/2007,2007,2,5,2,15
05/15/2008,2008,2,5,2,15
05/15/2008,2008,2,5,2,15
05/15/2009,2009,2,5,2,15
05/15/2009,2009,2,5,2,15
03/27/2006,2006,1,3,4,27
03/27/2007,2007,1,3,4,27
03/27/2007,2007,1,3,4,27
12/29/2006,2006,4,12,4,29
12/29/2006,2006,4,12,4,29
12/29/2006,2006,4,12,4,29
09/15/2006,2006,3,9,2,15
12/29/2005,2005,4,12,4,29
04/05/2009,2009,2,4,1,5
04/05/2009,2009,2,4,1,5
04/26/2005,2005,2,4,4,26
04/26/2005,2005,2,4,4,26
04/26/2006,2006,2,4,4,26
04/26/2008,2008,2,4,4,26
04/26/2008,2008,2,4,4,26
02/29/2008,2008,1,2,4,29
07/23/2010,2010,3,7,4,23
04/30/2010,2010,2,4,4,30
04/30/2010,2010,2,4,4,30
01/20/2007,2007,1,1,3,20
04/16/2007,2007,2,4,3,16
08/13/2006,2006,3,8,2,13
08/13/2007,2007,3,8,2,13
08/13/2007,2007,3,8,2,13
01/01/2006,2006,1,1,1,1
01/01/2006,2006,1,1,1,1
01/01/2006,2006,1,1,1,1
02/17/2008,2008,1,2,3,17
02/17/2008,2008,1,2,3,17
05/03/2009,2009,2,5,1,3
05/03/2009,2009,2,5,1,3
05/03/2009,2009,2,5,1,3
05/03/2008,2008,2,5,1,3
05/03/2008,2008,2,5,1,3
05/03/2006,2006,2,5,1,3
12/04/2006,2006,4,12,1,4
12/04/2006,2006,4,12,1,4
01/01/2009,2009,1,1,1,1
01/01/2008,2008,1,1,1,1
01/01/2008,2008,1,1,1,1
06/29/2010,2010,2,6,4,29
01/15/2007,2007,1,1,2,15
01/15/2007,2007,1,1,2,15
01/15/2007,2007,1,1,2,15
01/15/2005,2005,1,1,2,15
10/19/2005,2005,4,10,3,19
10/19/2005,2005,4,10,3,19
10/19/2006,2006,4,10,3,19
10/19/2006,2006,4,10,3,19
10/19/2009,2009,4,10,3,19
10/19/2009,2009,4,10,3,19
10/19/2009,2009,4,10,3,19
10/19/2009,2009,4,10,3,19
10/19/2008,2008,4,10,3,19
01/15/2009,2009,1,1,2,15
03/13/2010,2010,1,3,2,13
09/02/2009,2009,3,9,1,2
03/28/2008,2008,1,3,4,28
11/30/2006,2006,4,11,4,30
10/25/2008,2008,4,10,4,25
10/25/2008,2008,4,10,4,25
10/25/2009,2009,4,10,4,25
10/25/2009,2009,4,10,4,25
10/25/2009,2009,4,10,4,25
10/25/2007,2007,4,10,4,25
10/25/2007,2007,4,10,4,25
11/30/2008,2008,4,11,4,30
03/28/2005,2005,1,3,4,28
09/02/2007,2007,3,9,1,2
09/02/2007,2007,3,9,1,2
03/28/2006,2006,1,3,4,28
03/28/2006,2006,1,3,4,28
03/28/2006,2006,1,3,4,28
03/28/2006,2006,1,3,4,28
05/13/2010,2010,2,5,2,13
01/19/2007,2007,1,1,3,19
08/21/2007,2007,3,8,3,21
01/19/2006,2006,1,1,3,19
12/08/2005,2005,4,12,2,8
12/08/2005,2005,4,12,2,8
12/08/2005,2005,4,12,2,8
12/08/2005,2005,4,12,2,8
05/29/2005,2005,2,5,4,29
05/29/2006,2006,2,5,4,29
12/08/2006,2006,4,12,2,8
12/08/2006,2006,4,12,2,8
